     k    x1            x2            x3
   168  1.000000      2.000000      3.000000    
   169  1.000000      2.000000      3.000000    
   170  1.000000      2.000000      3.000000    
   171  1.000000      2.000000      3.000000    
   172  1.000000      2.000000      3.000000    
   173  1.000000      2.000000      3.000000    
   174  1.000000      2.000000      3.000000    
   175  1.000000      2.000000      3.000000    
   176  1.000000      2.000000      3.000000    
   177  1.000000      2.000000      3.000000    
   178  1.000000      2.000000      3.000000    
   179  1.000000      2.000000      3.000000    
   180  1.000000      2.000000      3.000000    
   181  1.000000      2.000000      3.000000    
   182  1.000000      2.000000      3.000000    
   183  1.000000      2.000000      3.000000    
   184  1.000000      2.000000      3.000000    
   185  1.000000      2.000000      3.000000    
   186  1.000000      2.000000      3.000000    
   187  1.000000      2.000000      3.000000    
   188  1.000000      2.000000      3.000000    
   189  1.000000      2.000000      3.000000    
   190  1.000000      2.000000      3.000000    
   191  1.000000      2.000000      3.000000    
   192  1.000000      2.000000      3.000000    
   193  1.000000      2.000000      3.000000    
   194  1.000000      2.000000      3.000000    
   195  1.000000      2.000000      3.000000    
   196  1.000000      2.000000      3.000000    
   197  1.000000      2.000000      3.000000    
   198  1.000000      2.000000      3.000000    
   199  1.000000      2.000000      3.000000    
   200  1.000000      2.000000      3.000000    
